,County_id,Year,Unit,Income,county_name,state_code
91,01033,2014,Thousands of dollars,1898242.0,Colbert, AL
92,01033,2015,Thousands of dollars,1939712.0,Colbert, AL
93,01033,2016,Thousands of dollars,1980327.0,Colbert, AL
94,01033,2017,Thousands of dollars,2049293.0,Colbert, AL
95,01035,2013,Thousands of dollars,374027.0,Conecuh, AL
96,01035,2014,Thousands of dollars,369667.0,Conecuh, AL
97,01035,2015,Thousands of dollars,381003.0,Conecuh, AL
98,01035,2016,Thousands of dollars,382157.0,Conecuh, AL
99,01035,2017,Thousands of dollars,394223.0,Conecuh, AL
100,01037,2013,Thousands of dollars,295247.0,Coosa, AL
101,01037,2014,Thousands of dollars,296636.0,Coosa, AL
102,01037,2015,Thousands of dollars,306661.0,Coosa, AL
103,01037,2016,Thousands of dollars,316532.0,Coosa, AL
104,01037,2017,Thousands of dollars,326195.0,Coosa, AL
105,01039,2013,Thousands of dollars,1165289.0,Covington, AL
106,01039,2014,Thousands of dollars,1197174.0,Covington, AL
107,01039,2015,Thousands of dollars,1216460.0,Covington, AL
108,01039,2016,Thousands of dollars,1232646.0,Covington, AL
109,01039,2017,Thousands of dollars,1290242.0,Covington, AL
110,01041,2013,Thousands of dollars,460519.0,Crenshaw, AL
111,01041,2014,Thousands of dollars,472882.0,Crenshaw, AL
112,01041,2015,Thousands of dollars,501399.0,Crenshaw, AL
113,01041,2016,Thousands of dollars,481131.0,Crenshaw, AL
114,01041,2017,Thousands of dollars,510897.0,Crenshaw, AL
115,01043,2013,Thousands of dollars,2759231.0,Cullman, AL
116,01043,2014,Thousands of dollars,2846479.0,Cullman, AL
117,01043,2015,Thousands of dollars,3009311.0,Cullman, AL
118,01043,2016,Thousands of dollars,3022968.0,Cullman, AL
119,01043,2017,Thousands of dollars,3195581.0,Cullman, AL
120,01045,2013,Thousands of dollars,1670192.0,Dale, AL
121,01045,2014,Thousands of dollars,1665953.0,Dale, AL
122,01045,2015,Thousands of dollars,1684180.0,Dale, AL
123,01045,2016,Thousands of dollars,1701250.0,Dale, AL
124,01045,2017,Thousands of dollars,1763964.0,Dale, AL
125,01047,2013,Thousands of dollars,1273822.0,Dallas, AL
126,01047,2014,Thousands of dollars,1277899.0,Dallas, AL
127,01047,2015,Thousands of dollars,1316110.0,Dallas, AL
128,01047,2016,Thousands of dollars,1350375.0,Dallas, AL
129,01047,2017,Thousands of dollars,1370741.0,Dallas, AL
130,01049,2013,Thousands of dollars,1978784.0,DeKalb, AL
131,01049,2014,Thousands of dollars,2049159.0,DeKalb, AL
132,01049,2015,Thousands of dollars,2119172.0,DeKalb, AL
133,01049,2016,Thousands of dollars,2094088.0,DeKalb, AL
134,01049,2017,Thousands of dollars,2218850.0,DeKalb, AL
135,01051,2013,Thousands of dollars,2878927.0,Elmore, AL
136,01051,2014,Thousands of dollars,2953474.0,Elmore, AL
137,01051,2015,Thousands of dollars,3110694.0,Elmore, AL
138,01051,2016,Thousands of dollars,3215041.0,Elmore, AL
139,01051,2017,Thousands of dollars,3316145.0,Elmore, AL
140,01053,2013,Thousands of dollars,1116895.0,Escambia, AL
141,01053,2014,Thousands of dollars,1129437.0,Escambia, AL
142,01053,2015,Thousands of dollars,1148302.0,Escambia, AL
